parameter,location_id,location_name,country,sensor_id,expected_interval,interval_label,datetime_first_local,reaches_jan_2000
pm25,6312234,Discovery Bay,HK,15985439,01:00:00,hourly,2026-04-18T18:00:00+08:00,False
pm25,1011359,OLD Tenderloin Housing Clinic,US,1560133,00:40:00,hourly,2021-10-20T07:54:06-07:00,False
pm25,412,"Peenya, Bengaluru - KSPCB",IN,13852,00:15:00,hourly,2017-02-19T02:45:00+05:30,False
pm25,9758,NET.IE001,IE,30457,01:00:00,hourly,2019-01-16T15:00:00Z,False
pm25,3069531,NASA GSFC Rutgers Calib. N10,KR,10661338,00:18:00,hourly,2024-09-19T10:34:57+09:00,False
pm25,2162358,XOVE,ES,8622637,01:00:00,hourly,2024-03-18T08:00:00+01:00,False
pm25,1009028,A2YG9P7N,US,2001168,,unknown,,False
pm25,9595,Payerne,CH,29548,01:00:00,hourly,2017-10-25T01:00:00+02:00,False
pm25,223784,Kew Road,GB,1296237,01:00:00,hourly,2019-02-14T14:00:00Z,False
pm25,2162107,Enzenkirchen im Sauwald,AT,7773988,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,6946,"Belur Math, Howrah - WBPCB",IN,20038,01:00:00,hourly,2019-06-19T04:30:00+05:30,False
pm25,5927,MMFRA1001,US,16066,01:00:00,hourly,2018-08-16T19:00:00-07:00,False
pm25,2623646,금암로(신장동),KR,8536507,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,6312,职工医院,CN,17553,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,2493596,NET-FR061A,FR,7944833,01:00:00,hourly,2024-02-28T14:00:00+01:00,False
pm25,2162566,42R823 - BEVEREN,BE,7773238,01:00:00,hourly,2024-01-29T00:00:00+01:00,False
pm25,6395580,ASO-d83bda1c4dc8,CL,16563325,01:00:00,hourly,2026-06-09T11:00:00-04:00,False
pm25,921046,4B Bulgaria Blvrd,BG,5078036,01:00:00,hourly,2023-05-11T00:58:00+03:00,False
pm25,2531,Komunikacyjna,PL,5011,01:00:00,hourly,2016-01-30T02:00:00+01:00,False
pm25,3524553,Thateng -Sekong,LA,12331778,01:00:00,hourly,2025-02-28T11:00:00+07:00,False
pm25,6135780,Mexico City,MX,14673703,01:00:00,hourly,2025-11-18T22:00:00-06:00,False
pm25,7948,Entrecampos,PT,5078541,01:00:00,hourly,2023-05-06T01:00:00+01:00,False
pm25,2623561,성동면,KR,8536991,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,4921,44R702 - Gent (G.Carlierlaan),BE,12546,01:00:00,hourly,2016-11-22T16:00:00+01:00,False
pm25,6197944,"7-мкрн, д. 5/1",KG,15138129,00:18:00,hourly,2026-01-12T11:08:03+06:00,False
pm25,1215115,岡山市中区長岡５８－２,JP,6518500,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,2622573,사곡면,KR,8535845,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,6262845,Valley of the Sun,US,15615681,01:00:00,hourly,2026-03-06T15:00:00-07:00,False
pm25,26099,ACHD North Braddock,US,41264,00:15:00,hourly,2019-03-30T23:00:00-04:00,False
pm25,4390,Praha 5-Stodulky,CZ,10815,01:00:00,hourly,2016-11-21T16:00:00+01:00,False
pm25,2671,Marion Mobile Monito,US,5577,01:00:00,hourly,2016-11-23T14:00:00-05:00,False
pm25,225852,Wandsworth - Putney High Street,GB,10601409,01:00:00,hourly,2024-09-10T02:00:00+01:00,False
pm25,1214911,大垣市西外側町２－４９,JP,6587294,01:00:00,hourly,2023-07-22T05:00:00+09:00,False
pm25,5119,Cle Elum Mobile,US,13223,01:00:00,hourly,2017-09-06T08:00:00-07:00,False
pm25,232004,Ludo outdoor,FR,1335364,,unknown,,False
pm25,6924,"Indirapuram, Ghaziabad - UPPCB",IN,12235779,01:00:00,hourly,2025-02-19T01:45:00+05:30,False
pm25,2623659,인천항,KR,8536701,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,1009764,A882RZTJ,US,1564421,00:40:00,hourly,2024-04-24T09:00:00-07:00,False
pm25,3409431,"Digari Kalan, Jodhpur - RSPCB",IN,12237960,01:00:00,hourly,2025-02-19T01:45:00+05:30,False
pm25,2622755,감물면,KR,8541501,01:00:00,hourly,2024-03-20T10:00:00+09:00,False
pm25,9866,九站,CN,31036,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,2623078,신원동,KR,8535769,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,2383924,PM2.5 Mammoth Lakes,US,7811904,01:00:00,hourly,2024-02-03T23:00:00-08:00,False
pm25,57685,Thousand Oaks - Moor,US,1316140,01:00:00,hourly,2021-06-21T01:00:00-07:00,False
pm25,938279,Millvale,US,5973864,,unknown,,False
pm25,4489,Leipzig-Mitte,DE,5078784,01:00:00,hourly,2023-05-06T02:00:00+02:00,False
pm25,6421697,La Union - CLARO,US,16755919,01:00:00,hourly,2026-06-27T17:00:00-06:00,False
pm25,10165,安源区政府,CN,32854,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,6135427,"Talpur House, Latifabad, Hyderabad",PK,14673708,01:00:00,hourly,2025-11-19T03:00:00+05:00,False
pm25,299963,ab09,HK,1705752,01:00:00,hourly,2022-03-23T19:11:28+08:00,False
pm25,9892,仁和,CN,31194,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,3597971,Xamneua - Houaphan,LA,12390571,01:00:00,hourly,2025-03-06T10:00:00+07:00,False
pm25,2623619,진천읍,KR,8537080,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,947151,South Shores Per Arts Mag ES (6870),US,2001084,00:30:00,hourly,2022-02-17T18:00:00-08:00,False
pm25,6207267,Norwood Park 1,US,15206056,00:18:00,hourly,2026-01-19T10:11:51-06:00,False
pm25,1564668,Lilac Hill,CA,6942075,01:00:00,hourly,2023-09-12T13:00:00-04:00,False
pm25,3390,CAMPANILLAS CIFA,ES,5078513,01:00:00,hourly,2023-05-08T12:00:00+02:00,False
pm25,227542,Walnut Rec.,US,1312502,01:00:00,hourly,2021-06-04T13:00:00-07:00,False
pm25,1878,NCORE,US,3325,01:00:00,hourly,2016-03-06T14:00:00-06:00,False
pm25,1236056,Waterfall Road,TH,6530296,01:00:00,hourly,2023-07-15T20:00:00+07:00,False
pm25,2847558,Bears' Cave,CA,9226059,01:00:00,hourly,2024-05-15T06:00:00-04:00,False
pm25,938279,Millvale,US,5831258,,unknown,,False
pm25,4109,Zone Rurale Nord,FR,5078428,01:00:00,hourly,2023-05-06T02:00:00+02:00,False
pm25,6222265,West Englewood 1,US,15314408,00:18:00,hourly,2026-01-30T20:04:02-06:00,False
pm25,1236031,NWCAA - BPS 1,US,6530262,01:00:00,hourly,2023-07-15T06:00:00-07:00,False
pm25,5282052,"Rue Cadillac, Québec",CA,13753111,01:00:00,hourly,2025-08-01T11:00:00-04:00,False
pm25,2812811,с.Байтик ,KG,8966957,00:18:00,hourly,2024-04-24T22:00:00+06:00,False
pm25,3510957,Tiwa Blvd,US,12320587,00:18:00,hourly,2025-02-26T20:02:23-07:00,False
pm25,9022,汉北路,CN,26628,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,921116,Evansville-Buena Vis,US,5079661,01:00:00,hourly,2022-10-04T13:00:00-05:00,False
pm25,8900,Yuba City,US,25964,01:00:00,hourly,2019-04-19T09:00:00-07:00,False
pm25,337840,UAO Lago,CO,1927506,,unknown,,False
pm25,6217624,Suson Park,US,15281435,01:00:00,hourly,2026-01-27T10:00:00-06:00,False
